trip_id,start_node,start_state,start_district,destination_node,destination_state,destination_district,trip_type,cargo_type,vehicle_type,departure_time
T00015,N0116,Tripura,Sepahijala,N0104,Sikkim,Mangan,Inter-state,Food Supplies,Medium Goods Vehicle,2026-05-03T11:00:00Z
T00016,N0084,Nagaland,Chumoukedima,N0118,Tripura,Dhalai,Inter-state,Medicine,Medium Goods Vehicle,2026-05-25T06:15:00Z
T00017,N0104,Sikkim,Mangan,N0044,Manipur,Ukhrul,Inter-state,Medicine,Truck,2026-03-05T14:15:00Z
T00018,N0097,Sikkim,Mangan,N0095,Sikkim,Gyalshing,Within-state,Agricultural Produce,Truck,2026-12-01T23:30:00Z
T00019,N0002,Arunachal Pradesh,Lower Subansiri,N0025,Assam,Tinsukia,Inter-state,Construction Material,Truck,2026-05-09T10:30:00Z
T00020,N0080,Nagaland,Longleng,N0010,Arunachal Pradesh,East Kameng,Inter-state,Food Supplies,Heavy Truck,2026-05-01T16:30:00Z
T00021,N0117,Tripura,Dhalai,N0102,Sikkim,Gyalshing,Inter-state,Agricultural Produce,Heavy Truck,2026-02-25T04:45:00Z
T00022,N0103,Sikkim,Namchi,N0108,Tripura,Unakoti,Inter-state,Construction Material,Heavy Truck,2026-07-19T10:30:00Z
T00023,N0008,Arunachal Pradesh,Tawang,N0109,Tripura,South Tripura,Inter-state,Food Supplies,Truck,2026-09-12T19:15:00Z
T00024,N0072,Mizoram,Mamit,N0036,Manipur,Ukhrul,Inter-state,Medicine,Medium Goods Vehicle,2026-12-06T04:00:00Z
T00025,N0042,Manipur,Jiribam,N0019,Assam,Dhemaji,Inter-state,Medicine,Heavy Truck,2026-02-02T13:15:00Z
T00026,N0061,Mizoram,Saitual,N0112,Tripura,Unakoti,Inter-state,Essential Goods,Truck,2026-05-03T11:00:00Z
T00027,N0043,Manipur,Noney,N0053,Meghalaya,South West Khasi Hills,Inter-state,Essential Goods,Truck,2026-07-19T06:00:00Z
T00028,N0039,Manipur,Thoubal,N0062,Mizoram,Hnahthial,Inter-state,Construction Material,Medium Goods Vehicle,2026-07-05T01:15:00Z
T00029,N0117,Tripura,Dhalai,N0059,Meghalaya,West Khasi Hills,Inter-state,Agricultural Produce,Medium Goods Vehicle,2026-01-26T05:45:00Z
T00030,N0011,Arunachal Pradesh,Namsai,N0054,Meghalaya,Ri-Bhoi,Inter-state,Agricultural Produce,Truck,2026-01-10T23:15:00Z
T00031,N0107,Tripura,West Tripura,N0109,Tripura,South Tripura,Within-state,Agricultural Produce,Medium Goods Vehicle,2026-04-23T22:15:00Z
T00032,N0015,Arunachal Pradesh,Tirap,N0106,Tripura,West Tripura,Inter-state,Agricultural Produce,Truck,2026-02-04T10:45:00Z
T00033,N0096,Sikkim,Pakyong,N0104,Sikkim,Mangan,Within-state,Medicine,Truck,2026-06-09T08:15:00Z
T00034,N0001,Arunachal Pradesh,Tawang,N0111,Tripura,Dhalai,Inter-state,Essential Goods,Heavy Truck,2026-01-19T22:15:00Z
T00035,N0038,Manipur,Ukhrul,N0072,Mizoram,Mamit,Inter-state,Medicine,Medium Goods Vehicle,2026-12-24T09:00:00Z
T00036,N0021,Assam,Golaghat,N0013,Arunachal Pradesh,Upper Subansiri,Inter-state,Medicine,Medium Goods Vehicle,2026-09-16T13:30:00Z
T00037,N0063,Mizoram,Serchhip,N0050,Meghalaya,East Khasi Hills,Inter-state,Medicine,Medium Goods Vehicle,2026-08-26T12:45:00Z
T00038,N0096,Sikkim,Pakyong,N0072,Mizoram,Mamit,Inter-state,Food Supplies,Medium Goods Vehicle,2026-05-21T03:30:00Z
T00039,N0019,Assam,Dhemaji,N0063,Mizoram,Serchhip,Inter-state,Essential Goods,Truck,2026-12-16T18:45:00Z
T00040,N0009,Arunachal Pradesh,Namsai,N0028,Assam,Lakhimpur,Inter-state,Construction Material,Heavy Truck,2026-05-05T01:15:00Z
T00041,N0022,Assam,Barpeta,N0069,Mizoram,Mamit,Inter-state,Essential Goods,Truck,2026-08-11T11:45:00Z
T00042,N0064,Mizoram,Hnahthial,N0053,Meghalaya,South West Khasi Hills,Inter-state,Essential Goods,Medium Goods Vehicle,2026-01-03T11:30:00Z
T00043,N0067,Mizoram,Hnahthial,N0108,Tripura,Unakoti,Inter-state,Essential Goods,Heavy Truck,2026-02-13T16:15:00Z
T00044,N0066,Mizoram,Aizawl,N0030,Assam,Dibrugarh,Inter-state,Medicine,Heavy Truck,2026-11-03T15:15:00Z
T00045,N0091,Sikkim,Gangtok,N0117,Tripura,Dhalai,Inter-state,Medicine,Truck,2026-03-23T18:30:00Z
T00046,N0066,Mizoram,Aizawl,N0035,Manipur,Ukhrul,Inter-state,Agricultural Produce,Medium Goods Vehicle,2026-06-26T12:45:00Z
T00047,N0078,Nagaland,Niuland,N0036,Manipur,Ukhrul,Inter-state,Medicine,Heavy Truck,2026-11-28T06:00:00Z
T00048,N0072,Mizoram,Mamit,N0086,Nagaland,Wokha,Inter-state,Medicine,Medium Goods Vehicle,2026-05-14T02:15:00Z
T00049,N0014,Arunachal Pradesh,Longding,N0086,Nagaland,Wokha,Inter-state,Essential Goods,Heavy Truck,2026-12-27T08:00:00Z
T00050,N0007,Arunachal Pradesh,West Kameng,N0092,Sikkim,Namchi,Inter-state,Food Supplies,Heavy Truck,2026-01-11T01:00:00Z
T00051,N0032,Manipur,Ukhrul,N0070,Mizoram,Hnahthial,Inter-state,Essential Goods,Medium Goods Vehicle,2026-02-07T03:00:00Z
T00052,N0021,Assam,Golaghat,N0050,Meghalaya,East Khasi Hills,Inter-state,Food Supplies,Medium Goods Vehicle,2026-09-21T11:30:00Z
T00053,N0065,Mizoram,Saitual,N0086,Nagaland,Wokha,Inter-state,Food Supplies,Truck,2026-12-15T18:30:00Z
T00054,N0084,Nagaland,Chumoukedima,N0010,Arunachal Pradesh,East Kameng,Inter-state,Essential Goods,Medium Goods Vehicle,2026-10-24T21:15:00Z
T00055,N0096,Sikkim,Pakyong,N0017,Assam,Dhubri,Inter-state,Essential Goods,Medium Goods Vehicle,2026-08-01T17:00:00Z
T00056,N0066,Mizoram,Aizawl,N0115,Tripura,West Tripura,Inter-state,Food Supplies,Medium Goods Vehicle,2026-09-13T13:45:00Z
T00057,N0043,Manipur,Noney,N0076,Nagaland,Kohima,Inter-state,Essential Goods,Truck,2026-08-07T03:45:00Z
T00058,N0064,Mizoram,Hnahthial,N0045,Manipur,Senapati,Inter-state,Construction Material,Truck,2026-04-25T22:00:00Z
T00059,N0078,Nagaland,Niuland,N0083,Nagaland,Dimapur,Within-state,Medicine,Truck,2026-08-25T21:30:00Z
T00060,N0079,Nagaland,Peren,N0015,Arunachal Pradesh,Tirap,Inter-state,Food Supplies,Truck,2026-06-11T03:15:00Z
T00061,N0006,Arunachal Pradesh,East Kameng,N0103,Sikkim,Namchi,Inter-state,Food Supplies,Truck,2026-07-24T01:15:00Z
T00062,N0115,Tripura,West Tripura,N0007,Arunachal Pradesh,West Kameng,Inter-state,Essential Goods,Truck,2026-05-17T06:30:00Z
T00063,N0120,Tripura,Sepahijala,N0046,Meghalaya,South Garo Hills,Inter-state,Medicine,Medium Goods Vehicle,2026-09-21T16:30:00Z
T00064,N0058,Meghalaya,East Khasi Hills,N0035,Manipur,Ukhrul,Inter-state,Essential Goods,Medium Goods Vehicle,2026-03-15T10:00:00Z
T00065,N0023,Assam,Kamrup Metropolitan,N0098,Sikkim,Namchi,Inter-state,Medicine,Truck,2026-07-08T07:00:00Z
T00066,N0098,Sikkim,Namchi,N0049,Meghalaya,North Garo Hills,Inter-state,Construction Material,Heavy Truck,2026-09-19T13:30:00Z
T00067,N0064,Mizoram,Hnahthial,N0081,Nagaland,Chumoukedima,Inter-state,Construction Material,Heavy Truck,2026-06-23T08:45:00Z
T00068,N0009,Arunachal Pradesh,Namsai,N0027,Assam,Tinsukia,Inter-state,Medicine,Heavy Truck,2026-09-20T18:00:00Z
T00069,N0016,Assam,Darrang,N0088,Nagaland,Longleng,Inter-state,Agricultural Produce,Truck,2026-06-15T20:30:00Z
T00070,N0067,Mizoram,Hnahthial,N0023,Assam,Kamrup Metropolitan,Inter-state,Essential Goods,Truck,2026-06-23T16:30:00Z
T00071,N0076,Nagaland,Kohima,N0062,Mizoram,Hnahthial,Inter-state,Construction Material,Medium Goods Vehicle,2026-03-10T02:45:00Z
T00072,N0110,Tripura,Dhalai,N0051,Meghalaya,East Garo Hills,Inter-state,Agricultural Produce,Truck,2026-12-04T19:30:00Z
T00073,N0004,Arunachal Pradesh,Upper Subansiri,N0095,Sikkim,Gyalshing,Inter-state,Food Supplies,Medium Goods Vehicle,2026-03-21T18:15:00Z
T00074,N0103,Sikkim,Namchi,N0071,Mizoram,Champhai,Inter-state,Essential Goods,Heavy Truck,2026-10-01T15:45:00Z
T00075,N0087,Nagaland,Kohima,N0038,Manipur,Ukhrul,Inter-state,Construction Material,Truck,2026-02-07T21:45:00Z
T00076,N0045,Manipur,Senapati,N0068,Mizoram,Aizawl,Inter-state,Agricultural Produce,Heavy Truck,2026-09-06T03:15:00Z
T00077,N0017,Assam,Dhubri,N0029,Assam,Barpeta,Within-state,Construction Material,Heavy Truck,2026-07-01T10:15:00Z
T00078,N0103,Sikkim,Namchi,N0119,Tripura,West Tripura,Inter-state,Essential Goods,Medium Goods Vehicle,2026-12-16T15:45:00Z
T00079,N0120,Tripura,Sepahijala,N0098,Sikkim,Namchi,Inter-state,Food Supplies,Heavy Truck,2026-01-22T03:30:00Z
T00080,N0020,Assam,Dhubri,N0024,Assam,Nagaon,Within-state,Medicine,Medium Goods Vehicle,2026-08-17T13:00:00Z
T00081,N0053,Meghalaya,South West Khasi Hills,N0078,Nagaland,Niuland,Inter-state,Essential Goods,Truck,2026-01-18T04:00:00Z
T00082,N0115,Tripura,West Tripura,N0008,Arunachal Pradesh,Tawang,Inter-state,Medicine,Heavy Truck,2026-07-04T20:00:00Z
T00083,N0005,Arunachal Pradesh,Upper Subansiri,N0050,Meghalaya,East Khasi Hills,Inter-state,Essential Goods,Heavy Truck,2026-07-02T00:00:00Z
T00084,N0050,Meghalaya,East Khasi Hills,N0044,Manipur,Ukhrul,Inter-state,Food Supplies,Truck,2026-12-21T12:00:00Z
T00085,N0038,Manipur,Ukhrul,N0029,Assam,Barpeta,Inter-state,Agricultural Produce,Medium Goods Vehicle,2026-12-12T15:15:00Z
T00086,N0066,Mizoram,Aizawl,N0037,Manipur,Tamenglong,Inter-state,Essential Goods,Truck,2026-01-21T06:30:00Z
T00087,N0068,Mizoram,Aizawl,N0059,Meghalaya,West Khasi Hills,Inter-state,Essential Goods,Truck,2026-05-05T09:30:00Z
T00088,N0075,Mizoram,Serchhip,N0041,Manipur,Imphal East,Inter-state,Food Supplies,Heavy Truck,2026-04-10T19:00:00Z
T00089,N0102,Sikkim,Gyalshing,N0035,Manipur,Ukhrul,Inter-state,Agricultural Produce,Heavy Truck,2026-04-19T02:00:00Z
T00090,N0096,Sikkim,Pakyong,N0051,Meghalaya,East Garo Hills,Inter-state,Food Supplies,Medium Goods Vehicle,2026-09-18T04:00:00Z
T00091,N0084,Nagaland,Chumoukedima,N0078,Nagaland,Niuland,Within-state,Construction Material,Heavy Truck,2026-03-19T20:45:00Z
T00092,N0037,Manipur,Tamenglong,N0115,Tripura,West Tripura,Inter-state,Construction Material,Heavy Truck,2026-07-02T18:30:00Z
T00093,N0108,Tripura,Unakoti,N0012,Arunachal Pradesh,West Siang,Inter-state,Medicine,Heavy Truck,2026-06-24T12:15:00Z
T00094,N0119,Tripura,West Tripura,N0113,Tripura,Unakoti,Within-state,Medicine,Heavy Truck,2026-04-23T16:30:00Z
T00095,N0064,Mizoram,Hnahthial,N0026,Assam,Kamrup,Inter-state,Construction Material,Truck,2026-06-28T05:00:00Z
T00096,N0115,Tripura,West Tripura,N0066,Mizoram,Aizawl,Inter-state,Medicine,Truck,2026-01-07T23:00:00Z
T00097,N0057,Meghalaya,South West Khasi Hills,N0048,Meghalaya,West Garo Hills,Within-state,Food Supplies,Truck,2026-01-17T13:30:00Z
T00098,N0049,Meghalaya,North Garo Hills,N0002,Arunachal Pradesh,Lower Subansiri,Inter-state,Construction Material,Medium Goods Vehicle,2026-10-28T13:45:00Z
T00099,N0006,Arunachal Pradesh,East Kameng,N0063,Mizoram,Serchhip,Inter-state,Agricultural Produce,Heavy Truck,2026-08-11T17:30:00Z
T00100,N0097,Sikkim,Mangan,N0100,Sikkim,Gyalshing,Within-state,Essential Goods,Heavy Truck,2026-11-25T07:00:00Z
T00101,N0072,Mizoram,Mamit,N0005,Arunachal Pradesh,Upper Subansiri,Inter-state,Medicine,Heavy Truck,2026-03-13T23:45:00Z
T00102,N0101,Sikkim,Namchi,N0043,Manipur,Noney,Inter-state,Agricultural Produce,Truck,2026-04-26T00:45:00Z
T00103,N0063,Mizoram,Serchhip,N0120,Tripura,Sepahijala,Inter-state,Agricultural Produce,Medium Goods Vehicle,2026-10-22T17:45:00Z
T00104,N0021,Assam,Golaghat,N0094,Sikkim,Gangtok,Inter-state,Medicine,Heavy Truck,2026-03-22T19:45:00Z
T00105,N0106,Tripura,West Tripura,N0108,Tripura,Unakoti,Within-state,Medicine,Truck,2026-02-12T01:15:00Z
T00106,N0063,Mizoram,Serchhip,N0118,Tripura,Dhalai,Inter-state,Medicine,Heavy Truck,2026-08-16T20:15:00Z
T00107,N0082,Nagaland,Mon,N0059,Meghalaya,West Khasi Hills,Inter-state,Food Supplies,Heavy Truck,2026-11-09T05:00:00Z
T00108,N0024,Assam,Nagaon,N0084,Nagaland,Chumoukedima,Inter-state,Medicine,Heavy Truck,2026-02-19T11:00:00Z
T00109,N0016,Assam,Darrang,N0044,Manipur,Ukhrul,Inter-state,Agricultural Produce,Heavy Truck,2026-01-01T12:30:00Z
T00110,N0113,Tripura,Unakoti,N0040,Manipur,Noney,Inter-state,Construction Material,Heavy Truck,2026-04-26T16:45:00Z
T00111,N0020,Assam,Dhubri,N0065,Mizoram,Saitual,Inter-state,Medicine,Medium Goods Vehicle,2026-04-28T19:30:00Z
T00112,N0119,Tripura,West Tripura,N0010,Arunachal Pradesh,East Kameng,Inter-state,Agricultural Produce,Heavy Truck,2026-11-18T08:30:00Z
T00113,N0094,Sikkim,Gangtok,N0112,Tripura,Unakoti,Inter-state,Agricultural Produce,Heavy Truck,2026-07-14T18:00:00Z
T00114,N0014,Arunachal Pradesh,Longding,N0005,Arunachal Pradesh,Upper Subansiri,Within-state,Agricultural Produce,Heavy Truck,2026-01-11T15:30:00Z
T00115,N0064,Mizoram,Hnahthial,N0075,Mizoram,Serchhip,Within-state,Construction Material,Heavy Truck,2026-09-15T06:30:00Z
T00116,N0011,Arunachal Pradesh,Namsai,N0005,Arunachal Pradesh,Upper Subansiri,Within-state,Food Supplies,Heavy Truck,2026-11-16T18:30:00Z
T00117,N0119,Tripura,West Tripura,N0003,Arunachal Pradesh,Tawang,Inter-state,Essential Goods,Heavy Truck,2026-11-11T18:15:00Z
T00118,N0032,Manipur,Ukhrul,N0064,Mizoram,Hnahthial,Inter-state,Medicine,Medium Goods Vehicle,2026-09-06T16:15:00Z
T00119,N0006,Arunachal Pradesh,East Kameng,N0047,Meghalaya,Eastern West Khasi Hills,Inter-state,Medicine,Medium Goods Vehicle,2026-09-11T07:45:00Z
T00120,N0051,Meghalaya,East Garo Hills,N0052,Meghalaya,East Garo Hills,Within-state,Food Supplies,Truck,2026-05-18T18:45:00Z
T00121,N0027,Assam,Tinsukia,N0102,Sikkim,Gyalshing,Inter-state,Construction Material,Medium Goods Vehicle,2026-06-07T16:30:00Z
T00122,N0082,Nagaland,Mon,N0116,Tripura,Sepahijala,Inter-state,Essential Goods,Heavy Truck,2026-07-11T04:00:00Z
T00123,N0115,Tripura,West Tripura,N0008,Arunachal Pradesh,Tawang,Inter-state,Agricultural Produce,Truck,2026-07-20T22:00:00Z
T00124,N0085,Nagaland,Phek,N0059,Meghalaya,West Khasi Hills,Inter-state,Medicine,Truck,2026-04-22T08:00:00Z
T00125,N0004,Arunachal Pradesh,Upper Subansiri,N0050,Meghalaya,East Khasi Hills,Inter-state,Construction Material,Heavy Truck,2026-11-14T17:45:00Z
T00126,N0054,Meghalaya,Ri-Bhoi,N0004,Arunachal Pradesh,Upper Subansiri,Inter-state,Medicine,Heavy Truck,2026-11-11T16:45:00Z
T00127,N0117,Tripura,Dhalai,N0023,Assam,Kamrup Metropolitan,Inter-state,Essential Goods,Truck,2026-09-28T22:30:00Z
T00128,N0028,Assam,Lakhimpur,N0023,Assam,Kamrup Metropolitan,Within-state,Essential Goods,Heavy Truck,2026-11-18T22:45:00Z
T00129,N0081,Nagaland,Chumoukedima,N0094,Sikkim,Gangtok,Inter-state,Medicine,Medium Goods Vehicle,2026-09-24T09:45:00Z
T00130,N0077,Nagaland,Zunheboto,N0027,Assam,Tinsukia,Inter-state,Construction Material,Heavy Truck,2026-09-03T04:00:00Z
T00131,N0062,Mizoram,Hnahthial,N0046,Meghalaya,South Garo Hills,Inter-state,Construction Material,Medium Goods Vehicle,2026-04-11T03:15:00Z
T00132,N0028,Assam,Lakhimpur,N0096,Sikkim,Pakyong,Inter-state,Food Supplies,Truck,2026-02-05T10:30:00Z
T00133,N0063,Mizoram,Serchhip,N0102,Sikkim,Gyalshing,Inter-state,Food Supplies,Truck,2026-05-15T18:00:00Z
T00134,N0111,Tripura,Dhalai,N0085,Nagaland,Phek,Inter-state,Essential Goods,Heavy Truck,2026-04-05T06:00:00Z
T00135,N0078,Nagaland,Niuland,N0102,Sikkim,Gyalshing,Inter-state,Agricultural Produce,Medium Goods Vehicle,2026-11-05T00:30:00Z
T00136,N0104,Sikkim,Mangan,N0074,Mizoram,Lunglei,Inter-state,Food Supplies,Truck,2026-11-22T17:30:00Z
T00137,N0053,Meghalaya,South West Khasi Hills,N0023,Assam,Kamrup Metropolitan,Inter-state,Essential Goods,Truck,2026-05-06T17:15:00Z
T00138,N0079,Nagaland,Peren,N0093,Sikkim,Gangtok,Inter-state,Construction Material,Heavy Truck,2026-12-17T01:30:00Z
T00139,N0069,Mizoram,Mamit,N0097,Sikkim,Mangan,Inter-state,Essential Goods,Heavy Truck,2026-07-12T15:00:00Z
T00140,N0107,Tripura,West Tripura,N0052,Meghalaya,East Garo Hills,Inter-state,Essential Goods,Medium Goods Vehicle,2026-10-26T17:15:00Z
T00141,N0035,Manipur,Ukhrul,N0031,Manipur,Noney,Within-state,Essential Goods,Heavy Truck,2026-05-11T22:00:00Z
T00142,N0061,Mizoram,Saitual,N0022,Assam,Barpeta,Inter-state,Food Supplies,Medium Goods Vehicle,2026-12-03T05:00:00Z
T00143,N0066,Mizoram,Aizawl,N0032,Manipur,Ukhrul,Inter-state,Food Supplies,Truck,2026-03-13T09:30:00Z
T00144,N0095,Sikkim,Gyalshing,N0028,Assam,Lakhimpur,Inter-state,Agricultural Produce,Heavy Truck,2026-05-05T16:00:00Z
T00145,N0058,Meghalaya,East Khasi Hills,N0075,Mizoram,Serchhip,Inter-state,Essential Goods,Heavy Truck,2026-01-16T05:00:00Z
T00146,N0069,Mizoram,Mamit,N0056,Meghalaya,East Garo Hills,Inter-state,Medicine,Truck,2026-02-17T09:00:00Z
T00147,N0054,Meghalaya,Ri-Bhoi,N0008,Arunachal Pradesh,Tawang,Inter-state,Food Supplies,Medium Goods Vehicle,2026-07-23T11:00:00Z
T00148,N0103,Sikkim,Namchi,N0045,Manipur,Senapati,Inter-state,Agricultural Produce,Medium Goods Vehicle,2026-07-14T21:00:00Z
T00149,N0045,Manipur,Senapati,N0008,Arunachal Pradesh,Tawang,Inter-state,Construction Material,Medium Goods Vehicle,2026-01-28T10:15:00Z
T00150,N0019,Assam,Dhemaji,N0111,Tripura,Dhalai,Inter-state,Essential Goods,Heavy Truck,2026-09-04T21:30:00Z
T00151,N0029,Assam,Barpeta,N0076,Nagaland,Kohima,Inter-state,Essential Goods,Truck,2026-03-05T03:45:00Z
T00152,N0077,Nagaland,Zunheboto,N0093,Sikkim,Gangtok,Inter-state,Agricultural Produce,Medium Goods Vehicle,2026-01-22T10:15:00Z
T00153,N0091,Sikkim,Gangtok,N0011,Arunachal Pradesh,Namsai,Inter-state,Food Supplies,Heavy Truck,2026-10-24T12:15:00Z
T00154,N0049,Meghalaya,North Garo Hills,N0079,Nagaland,Peren,Inter-state,Construction Material,Medium Goods Vehicle,2026-03-10T03:30:00Z
T00155,N0001,Arunachal Pradesh,Tawang,N0028,Assam,Lakhimpur,Inter-state,Construction Material,Heavy Truck,2026-08-18T05:30:00Z
T00156,N0037,Manipur,Tamenglong,N0098,Sikkim,Namchi,Inter-state,Construction Material,Truck,2026-01-05T23:30:00Z
T00157,N0100,Sikkim,Gyalshing,N0017,Assam,Dhubri,Inter-state,Medicine,Heavy Truck,2026-03-10T22:30:00Z
T00158,N0061,Mizoram,Saitual,N0007,Arunachal Pradesh,West Kameng,Inter-state,Essential Goods,Medium Goods Vehicle,2026-06-18T09:15:00Z
T00159,N0107,Tripura,West Tripura,N0090,Nagaland,Chumoukedima,Inter-state,Essential Goods,Heavy Truck,2026-12-18T09:45:00Z
T00160,N0108,Tripura,Unakoti,N0024,Assam,Nagaon,Inter-state,Agricultural Produce,Heavy Truck,2026-05-20T01:30:00Z
T00161,N0044,Manipur,Ukhrul,N0060,Meghalaya,East Garo Hills,Inter-state,Medicine,Heavy Truck,2026-01-25T09:00:00Z
T00162,N0046,Meghalaya,South Garo Hills,N0067,Mizoram,Hnahthial,Inter-state,Construction Material,Truck,2026-08-20T00:30:00Z
T00163,N0032,Manipur,Ukhrul,N0115,Tripura,West Tripura,Inter-state,Food Supplies,Truck,2026-08-08T11:30:00Z
T00164,N0073,Mizoram,Champhai,N0105,Sikkim,Mangan,Inter-state,Medicine,Medium Goods Vehicle,2026-08-02T00:45:00Z
T00165,N0063,Mizoram,Serchhip,N0114,Tripura,Sepahijala,Inter-state,Essential Goods,Heavy Truck,2026-07-24T14:30:00Z
T00166,N0043,Manipur,Noney,N0044,Manipur,Ukhrul,Within-state,Construction Material,Truck,2026-03-12T11:00:00Z
T00167,N0035,Manipur,Ukhrul,N0066,Mizoram,Aizawl,Inter-state,Food Supplies,Heavy Truck,2026-02-27T07:45:00Z
T00168,N0043,Manipur,Noney,N0118,Tripura,Dhalai,Inter-state,Agricultural Produce,Truck,2026-01-17T22:15:00Z
T00169,N0063,Mizoram,Serchhip,N0057,Meghalaya,South West Khasi Hills,Inter-state,Medicine,Medium Goods Vehicle,2026-08-24T00:00:00Z
T00170,N0009,Arunachal Pradesh,Namsai,N0096,Sikkim,Pakyong,Inter-state,Agricultural Produce,Medium Goods Vehicle,2026-09-03T23:45:00Z
T00171,N0071,Mizoram,Champhai,N0091,Sikkim,Gangtok,Inter-state,Construction Material,Heavy Truck,2026-09-23T21:30:00Z
T00172,N0092,Sikkim,Namchi,N0009,Arunachal Pradesh,Namsai,Inter-state,Medicine,Truck,2026-06-08T10:30:00Z
T00173,N0039,Manipur,Thoubal,N0011,Arunachal Pradesh,Namsai,Inter-state,Construction Material,Truck,2026-01-19T23:30:00Z
T00174,N0056,Meghalaya,East Garo Hills,N0090,Nagaland,Chumoukedima,Inter-state,Construction Material,Heavy Truck,2026-07-06T19:00:00Z
T00175,N0086,Nagaland,Wokha,N0120,Tripura,Sepahijala,Inter-state,Construction Material,Heavy Truck,2026-01-20T09:30:00Z
T00176,N0038,Manipur,Ukhrul,N0070,Mizoram,Hnahthial,Inter-state,Construction Material,Medium Goods Vehicle,2026-10-15T18:15:00Z
T00177,N0017,Assam,Dhubri,N0066,Mizoram,Aizawl,Inter-state,Agricultural Produce,Heavy Truck,2026-05-01T20:30:00Z
T00178,N0030,Assam,Dibrugarh,N0047,Meghalaya,Eastern West Khasi Hills,Inter-state,Essential Goods,Medium Goods Vehicle,2026-08-22T08:15:00Z
T00179,N0113,Tripura,Unakoti,N0057,Meghalaya,South West Khasi Hills,Inter-state,Food Supplies,Truck,2026-09-27T09:45:00Z
T00180,N0078,Nagaland,Niuland,N0016,Assam,Darrang,Inter-state,Food Supplies,Medium Goods Vehicle,2026-04-25T07:45:00Z
T00181,N0116,Tripura,Sepahijala,N0008,Arunachal Pradesh,Tawang,Inter-state,Agricultural Produce,Medium Goods Vehicle,2026-10-08T08:15:00Z
T00182,N0089,Nagaland,Longleng,N0078,Nagaland,Niuland,Within-state,Essential Goods,Truck,2026-04-12T19:30:00Z
T00183,N0120,Tripura,Sepahijala,N0083,Nagaland,Dimapur,Inter-state,Construction Material,Truck,2026-12-07T10:15:00Z
T00184,N0114,Tripura,Sepahijala,N0048,Meghalaya,West Garo Hills,Inter-state,Agricultural Produce,Heavy Truck,2026-05-04T14:15:00Z
T00185,N0055,Meghalaya,West Jaintia Hills,N0023,Assam,Kamrup Metropolitan,Inter-state,Food Supplies,Heavy Truck,2026-10-23T01:30:00Z
T00186,N0012,Arunachal Pradesh,West Siang,N0059,Meghalaya,West Khasi Hills,Inter-state,Food Supplies,Heavy Truck,2026-12-18T15:15:00Z
T00187,N0117,Tripura,Dhalai,N0102,Sikkim,Gyalshing,Inter-state,Agricultural Produce,Heavy Truck,2026-02-07T22:00:00Z
T00188,N0046,Meghalaya,South Garo Hills,N0120,Tripura,Sepahijala,Inter-state,Construction Material,Medium Goods Vehicle,2026-09-18T10:45:00Z
T00189,N0047,Meghalaya,Eastern West Khasi Hills,N0073,Mizoram,Champhai,Inter-state,Construction Material,Medium Goods Vehicle,2026-02-09T11:00:00Z
T00190,N0091,Sikkim,Gangtok,N0028,Assam,Lakhimpur,Inter-state,Essential Goods,Medium Goods Vehicle,2026-02-21T21:30:00Z
