event_id,road_id,event_type,severity,detected_at,source_type,active,segment_risk_probability
E00056,R00056,Flooding,HIGH,2026-08-27T12:00:00Z,Field Officer,1,0.788
E00057,R00057,Flooding,HIGH,2026-08-27T12:00:00Z,Disaster Monitoring,1,0.763
E00058,R00058,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.27
E00059,R00059,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.072
E00060,R00060,Landslide,HIGH,2026-08-27T12:00:00Z,Field Officer,1,0.865
E00061,R00061,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.203
E00062,R00062,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.116
E00063,R00063,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.259
E00064,R00064,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.198
E00065,R00065,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.163
E00066,R00066,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.123
E00067,R00067,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.288
E00068,R00068,Bridge Restriction,HIGH,2026-08-27T12:00:00Z,Field Officer,1,0.978
E00069,R00069,Bridge Restriction,HIGH,2026-08-27T12:00:00Z,Disaster Monitoring,1,0.938
E00070,R00070,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.29
E00071,R00071,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.077
E00072,R00072,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.087
E00073,R00073,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.056
E00074,R00074,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.168
E00075,R00075,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.218
E00076,R00076,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.295
E00077,R00077,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.195
E00078,R00078,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.294
E00079,R00079,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.218
E00080,R00080,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.125
E00081,R00081,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.084
E00082,R00082,Road Damage,MEDIUM,2026-08-27T12:00:00Z,Government Road Feed,1,0.887
E00083,R00083,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.19
E00084,R00084,Landslide,HIGH,2026-08-27T12:00:00Z,Field Officer,1,0.811
E00085,R00085,Heavy Traffic,MEDIUM,2026-08-27T12:00:00Z,Weather API,1,0.927
E00086,R00086,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.055
E00087,R00087,Heavy Traffic,MEDIUM,2026-08-27T12:00:00Z,Field Officer,1,0.801
E00088,R00088,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.206
E00089,R00089,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.091
E00090,R00090,Landslide,HIGH,2026-08-27T12:00:00Z,Weather API,1,0.87
E00091,R00091,Heavy Traffic,MEDIUM,2026-08-27T12:00:00Z,Weather API,1,0.933
E00092,R00092,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.27
E00093,R00093,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.3
E00094,R00094,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.252
E00095,R00095,Heavy Traffic,MEDIUM,2026-08-27T12:00:00Z,Weather API,1,0.86
E00096,R00096,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.249
E00097,R00097,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.265
E00098,R00098,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.14
E00099,R00099,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.267
E00100,R00100,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.136
E00101,R00101,Bridge Restriction,HIGH,2026-08-27T12:00:00Z,Weather API,1,0.712
E00102,R00102,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.237
E00103,R00103,Road Damage,MEDIUM,2026-08-27T12:00:00Z,Disaster Monitoring,1,0.891
E00104,R00104,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.053
E00105,R00105,Heavy Traffic,MEDIUM,2026-08-27T12:00:00Z,Government Road Feed,1,0.916
E00106,R00106,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.136
E00107,R00107,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.094
E00108,R00108,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.073
E00109,R00109,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.144
E00110,R00110,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.107
E00111,R00111,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.127
E00112,R00112,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.13
E00113,R00113,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.13
E00114,R00114,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.291
E00115,R00115,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.11
E00116,R00116,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.21
E00117,R00117,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.072
E00118,R00118,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.096
E00119,R00119,Bridge Restriction,HIGH,2026-08-27T12:00:00Z,Government Road Feed,1,0.819
E00120,R00120,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.22
E00121,R00121,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.243
E00122,R00122,Landslide,HIGH,2026-08-27T12:00:00Z,Weather API,1,0.892
E00123,R00123,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.248
E00124,R00124,Bridge Restriction,HIGH,2026-08-27T12:00:00Z,GPS/Traffic,1,0.973
E00125,R00125,Landslide,HIGH,2026-08-27T12:00:00Z,Government Road Feed,1,0.931
E00126,R00126,Bridge Restriction,HIGH,2026-08-27T12:00:00Z,Field Officer,1,0.903
E00127,R00127,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.189
E00128,R00128,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.273
E00129,R00129,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.128
E00130,R00130,Bridge Restriction,HIGH,2026-08-27T12:00:00Z,Weather API,1,0.743
E00131,R00131,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.145
E00132,R00132,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.173
E00133,R00133,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.256
E00134,R00134,Road Damage,MEDIUM,2026-08-27T12:00:00Z,Field Officer,1,0.964
E00135,R00135,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.296
E00136,R00136,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.116
E00137,R00137,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.185
E00138,R00138,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.162
E00139,R00139,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.127
E00140,R00140,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.297
E00141,R00141,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.07
E00142,R00142,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.112
E00143,R00143,Road Damage,MEDIUM,2026-08-27T12:00:00Z,Weather API,1,0.916
E00144,R00144,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.133
E00145,R00145,Landslide,HIGH,2026-08-27T12:00:00Z,GPS/Traffic,1,0.783
E00146,R00146,Bridge Restriction,HIGH,2026-08-27T12:00:00Z,Government Road Feed,1,0.755
E00147,R00147,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.253
E00148,R00148,Road Damage,MEDIUM,2026-08-27T12:00:00Z,Government Road Feed,1,0.81
E00149,R00149,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.208
E00150,R00150,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.097
E00151,R00151,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.274
E00152,R00152,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.102
E00153,R00153,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.21
E00154,R00154,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.155
E00155,R00155,Heavy Traffic,MEDIUM,2026-08-27T12:00:00Z,GPS/Traffic,1,0.716
E00156,R00156,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.269
E00157,R00157,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.225
E00158,R00158,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.152
E00159,R00159,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.06
E00160,R00160,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.221
E00161,R00161,Flooding,HIGH,2026-08-27T12:00:00Z,GPS/Traffic,1,0.934
E00162,R00162,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.104
E00163,R00163,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.136
E00164,R00164,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.129
E00165,R00165,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.267
E00166,R00166,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.141
E00167,R00167,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.061
